total_linear,total_waste,max_waste,retrieved,stored,consumed_stock,consumed_linear,waste_ratio,day,name
72.815,0.23,100.0,0,8,12,96.0,0.32,0,8m
72.815,1.715,815.0,0,9,15,90.0,2.36,0,6m
66.165,2.81,835.0,5,3,8,64.0,4.25,1,8m
66.165,1.13,380.0,3,15,16,96.0,1.71,1,6m
148.43,1.42,365.0,4,21,26,208.0,0.96,2,8m
148.43,9.67,965.0,9,16,28,168.0,6.51,2,6m
120.88,5.38,925.0,14,9,13,104.0,4.31,3,8m
120.88,4.4,955.0,9,26,29,174.0,3.64,3,6m
111.395,0.765,250.0,3,21,22,176.0,0.69,4,8m
111.395,3.535,840.0,4,20,24,144.0,3.17,4,6m
69.255,3.28,280.0,12,8,9,72.0,4.74,5,8m
69.255,4.655,935.0,13,8,10,60.0,6.72,5,6m
110.435,3.905,250.0,15,11,12,96.0,3.41,6,8m
110.435,3.86,850.0,4,26,26,156.0,3.37,6,6m
162.155,5.135,845.0,16,22,23,184.0,3.1,7,8m
162.155,21.19,1410.0,7,15,34,204.0,12.31,7,6m
83.79,2.535,250.0,10,10,11,88.0,3.03,8,8m
83.79,8.53,1425.0,9,7,15,90.0,10.18,8,6m
70.65,2.91,320.0,10,6,8,64.0,4.12,9,8m
70.65,3.635,580.0,11,11,13,78.0,5.15,9,6m
111.475,2.93,350.0,9,17,17,136.0,2.53,10,8m
111.475,13.18,935.0,12,14,22,132.0,10.85,10,6m
122.125,6.115,605.0,22,9,11,88.0,5.01,11,8m
122.125,13.055,1490.0,6,30,33,198.0,9.32,11,6m
73.86,2.925,800.0,7,4,9,72.0,3.96,12,8m
73.86,8.01,1005.0,9,6,13,78.0,10.84,12,6m
111.17,1.62,250.0,6,15,19,152.0,1.46,13,8m
111.17,20.595,2485.0,8,11,23,138.0,18.53,13,6m
119.565,3.625,500.0,10,13,17,136.0,3.03,14,8m
119.565,31.925,2250.0,9,6,24,144.0,26.7,14,6m
87.905,6.535,785.0,23,4,5,40.0,7.43,15,8m
87.905,37.46,2735.0,9,7,20,120.0,42.61,15,6m
129.18,6.335,990.0,10,11,17,136.0,4.76,16,8m
129.18,44.05,2595.0,7,7,29,174.0,34.1,16,6m
122.25,1.29,250.0,5,22,23,184.0,1.06,17,8m
122.25,26.455,2065.0,6,4,24,144.0,21.64,17,6m
139.93,2.705,250.0,10,15,20,160.0,1.93,18,8m
139.93,30.71,2020.0,8,5,27,162.0,21.95,18,6m
102.93,4.545,595.0,15,9,11,88.0,4.42,19,8m
102.93,11.795,1025.0,9,13,22,132.0,10.98,19,6m
